2025-06-09 02:22:07 | INFO     | app | main.py:23 | main() | Starting RAG in prod mode
2025-06-09 02:22:07 | DEBUG    | asyncio | selector_events.py:64 | __init__() | Using selector: EpollSelector
2025-06-09 02:22:07 | DEBUG    | urllib3.connectionpool | connectionpool.py:289 | _get_conn() | Resetting dropped connection: huggingface.co
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.started host='api.gradio.app' port=443 local_address=None timeout=3 socket_options=None
2025-06-09 02:22:07 | DEBUG    | urllib3.connectionpool | connectionpool.py:544 | _make_request() | https://huggingface.co:443 "HEAD /api/telemetry/gradio/initiated HTTP/1.1" 200 0
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7c082529c500>
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | start_tls.started ssl_context=<ssl.SSLContext object at 0x7c0824a987d0> server_hostname='api.gradio.app' timeout=3
2025-06-09 02:22:07 | DEBUG    | urllib3.connectionpool | connectionpool.py:289 | _get_conn() | Resetting dropped connection: huggingface.co
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7c0825213da0>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_headers.started request=<Request [b'GET']>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_headers.complete
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_body.started request=<Request [b'GET']>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_body.complete
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_headers.started request=<Request [b'GET']>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Mon, 09 Jun 2025 02:22:07 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'21'), (b'Connection', b'keep-alive'), (b'Server', b'nginx/1.18.0'), (b'Access-Control-Allow-Origin', b'*')])
2025-06-09 02:22:07 | INFO     | httpx | _client.py:1025 | _send_single_request() | HTTP Request: GET https://api.gradio.app/pkg-version "HTTP/1.1 200 OK"
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_body.started request=<Request [b'GET']>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_body.complete
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | response_closed.started
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | response_closed.complete
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | close.started
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | close.complete
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.started host='api.gradio.app' port=443 local_address=None timeout=3 socket_options=None
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7c07dc7f7ec0>
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | start_tls.started ssl_context=<ssl.SSLContext object at 0x7c07dc78f5d0> server_hostname='api.gradio.app' timeout=3
2025-06-09 02:22:07 | DEBUG    | urllib3.connectionpool | connectionpool.py:544 | _make_request() | https://huggingface.co:443 "HEAD /api/telemetry/gradio/initiated HTTP/1.1" 200 0
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7c07dc637b30>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_headers.started request=<Request [b'GET']>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_headers.complete
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_body.started request=<Request [b'GET']>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_body.complete
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_headers.started request=<Request [b'GET']>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Mon, 09 Jun 2025 02:22:07 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'21'), (b'Connection', b'keep-alive'), (b'Server', b'nginx/1.18.0'), (b'Access-Control-Allow-Origin', b'*')])
2025-06-09 02:22:07 | INFO     | httpx | _client.py:1025 | _send_single_request() | HTTP Request: GET https://api.gradio.app/pkg-version "HTTP/1.1 200 OK"
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_body.started request=<Request [b'GET']>
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_body.complete
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | response_closed.started
2025-06-09 02:22:07 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | response_closed.complete
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | close.started
2025-06-09 02:22:07 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | close.complete
2025-06-09 02:22:07 | DEBUG    | urllib3.connectionpool | connectionpool.py:544 | _make_request() | https://stats.vllm.ai:443 "POST / HTTP/1.1" 200 None
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.started host='127.0.0.1' port=7860 local_address=None timeout=None socket_options=None
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7c07dc39f740>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_headers.started request=<Request [b'GET']>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_headers.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_body.started request=<Request [b'GET']>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_body.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_headers.started request=<Request [b'GET']>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Mon, 09 Jun 2025 02:22:08 GMT'), (b'server', b'uvicorn'), (b'content-length', b'4'), (b'content-type', b'application/json')])
2025-06-09 02:22:08 | INFO     | httpx | _client.py:1025 | _send_single_request() | HTTP Request: GET http://127.0.0.1:7860/gradio_api/startup-events "HTTP/1.1 200 OK"
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_body.started request=<Request [b'GET']>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_body.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | response_closed.started
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | response_closed.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | close.started
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | close.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.started host='127.0.0.1' port=7860 local_address=None timeout=3 socket_options=None
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7c07dc1ae120>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_headers.started request=<Request [b'HEAD']>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_headers.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_body.started request=<Request [b'HEAD']>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | send_request_body.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_headers.started request=<Request [b'HEAD']>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'date', b'Mon, 09 Jun 2025 02:22:08 GMT'), (b'server', b'uvicorn'), (b'content-length', b'86514'), (b'content-type', b'text/html; charset=utf-8')])
2025-06-09 02:22:08 | INFO     | httpx | _client.py:1025 | _send_single_request() | HTTP Request: HEAD http://127.0.0.1:7860/ "HTTP/1.1 200 OK"
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_body.started request=<Request [b'HEAD']>
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | receive_response_body.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | response_closed.started
2025-06-09 02:22:08 | DEBUG    | httpcore.http11 | _trace.py:47 | trace() | response_closed.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | close.started
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | close.complete
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.started host='api.gradio.app' port=443 local_address=None timeout=30 socket_options=None
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7c07dc1aed80>
2025-06-09 02:22:08 | DEBUG    | httpcore.connection | _trace.py:47 | trace() | start_tls.started ssl_context=<ssl.SSLContext object at 0x7c0825220e50> server_hostname='api.gradio.app' timeout=30
